"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","12/2183","26/9521",0.461538461538462,2.01296733500123,2.82092226565446,0.00755711037568348,0.0515661649164284,0.0418019727695185,"8884/2346/686/81693/113235/10560/949/8029/158835/9227/335/5406",12
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","17/2183","42/9521",0.404761904761905,1.76534040093362,2.71115602396187,0.00820051530735308,0.054880371672286,0.0444886255540612,"3620/51166/55526/130013/39/7166/6999/259307/1545/4128/15/11185/169355/8942/1644/1543/121278",17
"Cellular Processes","Cell motility","hsa04814","Motor proteins","60/2183","197/9521",0.304568527918782,1.32835407893482,2.53998343689088,0.00840185244675738,0.0551668802164447,0.044720882934081,"7802/83657/11004/112714/113457/3833/83544/146909/113220/203068/9493/10112/56992/9928/81930/55614/1767/4651/23303/24137/1062/84790/8632/55930/1780/3832/72/84617/3800/56171/10382/3801/283446/547/347733/27019/7277/7136/4636/53904/124602/79659/126820/1770/7139/10381/8701/1768/4629/22989/29895/58/58498/3834/4625/7138/4633/93661/7278/4624",60
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","17/2183","43/9521",0.395348837209302,1.72428597300493,2.59622566244761,0.0107233708618649,0.0691061677764626,0.0560207288690017,"8399/949/39/391013/29881/84649/4547/5407/948/335/64600/26279/50487/1208/5408/5406/8513",17
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","15/2183","37/9521",0.405405405405405,1.76814698344703,2.55332388066982,0.0124557524155312,0.0788109425564519,0.0638878784184184,"6898/7173/2184/5409/3081/259307/4128/222/8639/1638/126/7054/1644/125/131",15
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","42/2183","133/9521",0.315789473684211,1.37729343973769,2.38987409773116,0.0131454319877842,0.081689470209802,0.0662213491113942,"3760/776/148327/3708/3800/2890/111/5578/64764/90993/773/2904/2891/6571/408/59345/816/9586/2903/774/2770/50632/4128/51764/5332/5567/2353/1816/3765/51806/2786/7054/1644/1814/84152/2893/3763/1813/6570/1812/810/6323",42
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and
action","37/2183","115/9521",0.321739130434783,1.40324244657332,2.37284386567364,0.014093201644162,0.0853316323328784,0.0691738580314925,"2625/1956/107/148327/115/65266/596/3708/5337/9368/111/5578/64764/90993/4040/4326/8521/408/9586/2770/65267/4929/10568/5332/113/5567/9365/2353/114/5142/1958/5744/6569/8074/4322/846/1591",37
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","13/2183","31/9521",0.419354838709677,1.82898644954413,2.52145754861459,0.0142228114619521,0.0853316323328784,0.0691738580314925,"7366/7358/10720/7363/54490/7367/7364/9365/55586/54578/54575/54658/54657",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","49/2183","160/9521",0.30625,1.33568770041228,2.33555869508678,0.0144671445621834,0.0853316323328784,0.0691738580314925,"9074/4359/5817/10686/4099/1001/4685/9071/9080/137075/84189/9076/644672/3383/9369/5818/3112/3897/1002/84631/7412/214/3655/1525/3696/3134/152404/80380/26050/257194/29126/26047/9075/1493/941/29851/22854/927/149461/3135/23562/57689/1000/5133/6403/23114/201633/4684/100288814",49
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","51/2183","168/9521",0.303571428571429,1.32400530070022,2.31093525076459,0.0152115566190413,0.0882270283904398,0.0715210030509312,"3572/3595/1956/50604/7066/116379/53833/1154/596/3455/5292/5618/3559/9466/2057/53832/3601/595/1437/8835/4609/3458/3976/58985/8651/133396/3592/1439/282618/3594/3598/2690/50615/3565/3952/3456/282617/55801/59067/282616/3568/1443/338376/2056/1271/5617/3578/2689/3446/50616/3439",51
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","34/2183","105/9521",0.323809523809524,1.4122723207469,2.31687226632938,0.0163688489467119,0.0933829415320614,0.0757006301590818,"9254/107/776/115/7043/111/786/778/27092/1756/7124/3655/3696/284217/27091/6641/59285/6445/3908/3691/113/5567/7139/114/6262/137868/4842/4625/6543/10369/4633/153/4624/10368",34
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","29/2183","87/9521",0.333333333333333,1.45380974194534,2.3192202446392,0.016936044714856,0.0950603800124175,0.0770604411473923,"480/9254/7388/776/483/440567/10479/477/786/778/3270/27092/1345/27091/341947/59285/1346/845/7139/6262/125965/4625/6543/10369/4633/170712/4624/10368/23439",29
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","17/2183","45/9521",0.377777777777778,1.64765104087138,2.37515133890286,0.0175807054126024,0.0971124679934228,0.0787239607448194,"3552/3112/7124/3002/3134/3458/5551/941/3824/3135/356/3821/3812/3811/3804/3802/115653",17
