"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000005513.10",409.368432211578,5.14798568706607,0.129018828598717,39.9010419097641,0,0,"SOX8"
"ENSG00000054598.9",1704.72274970232,4.00887878677387,0.0801150517888575,50.0390213481886,0,0,"FOXC1"
"ENSG00000074410.14",26998.4173360543,-4.57694262961456,0.0968153170532153,-47.2749846710599,0,0,"CA12"
"ENSG00000082175.15",8414.25329285898,-6.52982277375499,0.153662160546665,-42.4946698037086,0,0,"PGR"
"ENSG00000091831.24",31166.9676020702,-5.71049896239433,0.11447581058962,-49.8838919155218,0,0,"ESR1"
"ENSG00000100219.16",112418.140695326,-3.08904062057432,0.0652134501070543,-47.3681520530406,0,0,"XBP1"
"ENSG00000103355.13",115.057422779418,8.72951095383712,0.224703822310737,38.8489651135765,0,0,"PRSS33"
"ENSG00000106541.12",35846.3422086582,-5.36752272265447,0.138336651767149,-38.800438308202,0,0,"AGR2"
"ENSG00000107485.18",34377.0107947349,-3.65929564108002,0.0840527340771594,-43.5357122080149,0,0,"GATA3"
"ENSG00000109436.8",26764.2162434925,-3.80902084979898,0.0828371270663465,-45.9820491691875,0,0,"TBC1D9"
"ENSG00000114547.10",327.553837508674,5.56389390128608,0.137176654709116,40.5600640508718,0,0,"ROPN1B"
"ENSG00000115648.14",20073.1676211123,-4.60300613566567,0.0827403906730726,-55.6319120349971,0,0,"MLPH"
"ENSG00000120262.10",1503.47257022726,-4.10097925504884,0.0902307457633716,-45.4499097879959,0,0,"CCDC170"
"ENSG00000129514.8",17958.4761032362,-4.57246363926449,0.0911475883466885,-50.1654922769069,0,0,"FOXA1"
"ENSG00000130287.14",190.969782041571,8.23374266639407,0.203515216875928,40.4576266717871,0,0,"NCAN"
"ENSG00000134830.6",1261.7300291444,-3.61466532952884,0.0821443024216227,-44.0038471685574,0,0,"C5AR2"
"ENSG00000135912.11",2033.41449864424,2.0178538155886,0.0501239918071658,40.2572449407376,0,0,"TTLL4"
"ENSG00000139865.16",1065.015454155,-4.75845609048041,0.115783544133695,-41.0978617564671,0,0,"TTC6"
"ENSG00000150667.8",1095.17664010307,-5.62790625046591,0.127604766465564,-44.1042008566718,0,0,"FSIP1"
"ENSG00000154548.9",93.1084681099467,3.53177644838502,0.0887324521331506,39.8025340614422,0,0,"SRSF12"
"ENSG00000156219.17",444.074096263827,7.32199057986139,0.176108903537274,41.5764929131573,0,0,"ART3"
"ENSG00000160180.15",16126.622173017,-6.34801374973404,0.164778230241461,-38.5245899317638,0,0,"TFF3"
"ENSG00000160182.3",12362.844481449,-8.62634268689143,0.198164654741919,-43.5311872247148,0,0,"TFF1"
"ENSG00000163064.7",938.892271552121,5.06109645986309,0.120795294441483,41.8981259432654,0,0,"EN1"
"ENSG00000163879.11",2509.70180068345,-4.0355226349378,0.101663214257114,-39.6950132299738,0,0,"DNALI1"
"ENSG00000166535.20",930.022153831859,6.54140811334281,0.162323416090143,40.2986104587042,0,0,"A2ML1"
"ENSG00000167614.14",724.624958115593,5.13574400551679,0.121027408912027,42.4345530626858,0,0,"TTYH1"
"ENSG00000168350.8",4559.91726805418,-4.20579915632892,0.105276454051306,-39.9500457555233,0,0,"DEGS2"
"ENSG00000171428.15",8529.20692428816,-5.86277567469504,0.128522944875148,-45.6165681574628,0,0,"NAT1"
"ENSG00000173467.9",6770.64855237181,-7.55955038483456,0.13554717457604,-55.7706230947202,0,0,"AGR3"
"ENSG00000175356.14",20272.3761916297,-5.97191972379761,0.134761665350998,-44.3146773842788,0,0,"SCUBE2"
"ENSG00000176532.4",2300.85034881306,-4.13827062022102,0.101422269022631,-40.8023864985472,0,0,"PRR15"
"ENSG00000178568.15",3114.28612784466,-5.15874857351613,0.125821873000613,-41.0004115380718,0,0,"ERBB4"
"ENSG00000178935.5",3947.53445578765,-2.983363849186,0.0747054098838022,-39.9350442468138,0,0,"ZNF552"
"ENSG00000183044.12",3888.13503130264,-3.63879767692545,0.0932112620068966,-39.0381762737663,0,0,"ABAT"
"ENSG00000183888.4",524.521076884228,-7.6956301066008,0.168045149722785,-45.7950147284575,0,0,"SRARP"
"ENSG00000187720.14",8616.78533461326,-3.84237601771936,0.0905963485219759,-42.4120406661568,0,0,"THSD4"
"ENSG00000188763.5",102.930566478884,5.19102274671004,0.12774399814413,40.6361380740029,0,0,"FZD9"
"ENSG00000203688.6",190.743169707131,7.11967524771654,0.131258427281882,54.2416620033607,0,0,"LINC02487"
"ENSG00000204434.6",817.439463674698,-6.86760415196562,0.167470171157093,-41.0079246024269,0,0,NA
"ENSG00000206113.11",96.1124339083952,-3.9783303569099,0.0978769352103493,-40.6462497866325,0,0,"CFAP99"
"ENSG00000213064.10",6264.14150976701,1.89213941458514,0.0467551088263219,40.4691479088145,0,0,"SFT2D2"
"ENSG00000225362.10",381.346137093641,-5.76419432640922,0.125642534756687,-45.8777303209605,0,0,"CT62"
"ENSG00000235584.3",641.872940216999,-7.25486936352781,0.167087183977331,-43.4196638595099,0,0,NA
"ENSG00000248360.7",843.347432841254,-5.18321517390093,0.1121499753975,-46.2168195358917,0,0,"LINC00504"
"ENSG00000253348.1",32.2583858032744,4.54301529925876,0.115809670590341,39.2282896246979,0,0,"LOC107986473"
"ENSG00000259793.1",118.563019191092,-5.37040728460709,0.135005762797946,-39.7790966348941,0,0,NA
"ENSG00000280916.2",215.330240046731,6.98305834292985,0.130057871223734,53.6919317318144,0,0,NA
"ENSG00000287853.1",142.956585154064,5.42832421958558,0.127983709055193,42.4141811458568,0,0,NA
"ENSG00000287914.1",297.917218948206,-6.50036845534784,0.152122841828384,-42.7310479952851,0,0,NA
"ENSG00000092068.20",8782.36369700964,-3.02854977958846,0.0789488800846319,-38.3608960170417,5.92878775009496e-322,5.54366357916171e-319,"SLC7A8"
"ENSG00000186868.16",7484.27202598219,-4.24137386473833,0.1106113108721,-38.3448476588677,1.09682573376757e-321,1.00585342639882e-318,"MAPT"
"ENSG00000256612.7",8755.24159225673,-7.50015979452236,0.196687030038318,-38.1324574023067,3.71493887895783e-318,3.34253378085077e-315,NA
"ENSG00000169083.18",11358.1783207516,-3.81353980548062,0.100221850691771,-38.0509816887043,8.29342545634283e-317,7.32386258787989e-314,"AR"
"ENSG00000184697.7",149.765430921883,7.01410920501261,0.184824150934504,37.9501768007483,3.8327633083321e-315,3.32314516153514e-312,"CLDN6"
"ENSG00000238266.2",89.7263961997133,6.76222637681684,0.179117286596926,37.7530639576633,6.69975893325206e-312,5.70520364732126e-309,NA
"ENSG00000203760.9",714.496888527727,2.84992140415704,0.0755886520111972,37.7030325098914,4.42999997450529e-311,3.70620015410937e-308,"CENPW"
"ENSG00000135069.14",1054.15077309738,4.52467326715443,0.120677448067521,37.4939422370184,1.15614419680978e-307,9.50569798504623e-305,"PSAT1"
"ENSG00000224559.2",680.769719933555,-7.10025962344718,0.189417896094513,-37.4846293293448,1.6396336297258e-307,1.325240828826e-304,"LINC01087"
"ENSG00000253768.1",220.217202872174,-7.68648685404581,0.205386504218078,-37.4244981836018,1.56154657034149e-306,1.24109118833124e-303,NA
"ENSG00000259459.6",754.885376844168,-5.138329851592,0.137410221811828,-37.394087454633,4.87505968648205e-306,3.81109788966016e-303,NA
"ENSG00000204531.20",44.4897142161021,3.06592742273418,0.0821474834595793,37.3222318397954,7.15535812656734e-305,5.50350908034866e-302,"POU5F1"
"ENSG00000146013.11",107.737314233407,5.48785864087106,0.147107167976706,37.3051749710799,1.35281523200385e-304,1.02399523759631e-301,"GFRA3"
"ENSG00000223813.3",86.7455997507736,-3.71953722699087,0.100221060577166,-37.1133293298865,1.71260188645324e-301,1.276075721239e-298,NA
"ENSG00000148459.16",333.154002748489,1.69597881551098,0.0458092539950728,37.0226246359173,4.95358538879327e-300,3.63417886823668e-297,"PDSS1"
"ENSG00000249661.1",869.567216832017,-5.52012720558418,0.149562793279662,-36.9084254481814,3.3853565177305e-298,2.44602267062143e-295,NA
"ENSG00000172425.12",108.279251834888,-4.44434994149623,0.120615371798448,-36.8472929712713,3.2315576968546e-297,2.30004913268515e-294,"TTC36"
"ENSG00000232400.1",62.1798138506962,-7.01775120926812,0.190867030415911,-36.7677497469103,6.05161995885567e-296,4.24387648496986e-293,"RAD17P1"
"ENSG00000204248.11",379.434856064581,4.9146327868787,0.133679769321152,36.7642225284798,6.89022304988571e-296,4.76194299391159e-293,"COL11A2"
"ENSG00000249346.7",217.191559295078,-7.22280409747216,0.196482129898472,-36.7606158443233,7.86790523096294e-296,5.35995423927042e-293,"LINC01016"
"ENSG00000286208.1",760.967986919347,-7.64799534368061,0.208094511924403,-36.7525086219428,1.06016083373711e-295,7.12054784203121e-293,NA
"ENSG00000184599.13",75.2493445249483,4.3500971175231,0.118452158537248,36.7245069337861,2.96809973604472e-295,1.96583016823284e-292,"TAFA3"
"ENSG00000152455.16",696.891225503798,1.67709578945809,0.0458695137653743,36.5623188864951,1.13622321358356e-292,7.42233923098072e-290,"SUV39H2"
"ENSG00000006071.15",729.662446504899,-5.51085385783814,0.150971882967124,-36.5025178830033,1.01150008784308e-291,6.51829793094227e-289,"ABCC8"
"ENSG00000222014.6",118.943651791141,-4.42255170113765,0.121239630873553,-36.47777273217,2.4969393746209e-291,1.58762063943396e-288,"RAB6C"
"ENSG00000204385.13",7790.91561923006,-4.25432478007605,0.116642822266159,-36.4730953643114,2.9618165987662e-291,1.85842300191268e-288,"SLC44A4"
"ENSG00000116176.6",202.888019805179,-6.74520642427155,0.185652298704458,-36.3324691982906,4.97126120679383e-289,3.07876017101789e-286,"TPSG1"
"ENSG00000100139.13",2444.67097414618,1.7234633382017,0.0475258544087414,36.2637002457488,6.04457660730955e-288,3.6954836496509e-285,"MICALL1"
"ENSG00000148468.17",1532.14188990666,2.63866595173761,0.0729253075807642,36.1831309222153,1.12154612474668e-286,6.77002152541707e-284,"FAM171A1"
"ENSG00000254290.1",97.9257241341461,-4.75666615863789,0.13183548661233,-36.0803170744546,4.61728036882597e-285,2.75230311185255e-282,NA
"ENSG00000064787.13",2628.93283407009,-4.78661583189033,0.132897329929882,-36.0173965452564,4.46905362692749e-284,2.63105876922582e-281,"BCAS1"
"ENSG00000057593.14",491.124231251789,-5.08949748033614,0.141345345461998,-36.0075350461718,6.3762935684197e-284,3.70812574874671e-281,"F7"
"ENSG00000259144.2",26.8979962966638,7.41521270536168,0.206019082086183,35.9928441107203,1.08251366412684e-283,6.21949748207429e-281,NA
"ENSG00000254416.6",30.4900614730499,6.10453739568273,0.169713095861002,35.9697486202387,2.48663994230313e-283,1.41167141581678e-280,"LOC124902752"
"ENSG00000230882.1",581.860247759586,-3.7992061266341,0.105884781042347,-35.8805683804046,6.13886637371281e-282,3.44404847956756e-279,NA
"ENSG00000072858.11",2411.30996527701,-3.05419929568851,0.0851471791880883,-35.8696474130029,9.08600142676092e-282,5.03818779113893e-279,"SIDT1"
"ENSG00000004838.14",724.360647032311,-3.64677112825292,0.101679680355345,-35.8652890676719,1.06246743126863e-281,5.82366487297784e-279,"ZMYND10"
"ENSG00000236313.1",229.297219737089,-7.43396387949415,0.208248144180056,-35.6976236631746,4.30343987102754e-279,2.33202428556466e-276,"VN1R53P"
"ENSG00000187486.5",1031.65585254637,-3.09737128477653,0.0868102509825316,-35.6797872338809,8.13741645241901e-279,4.36010088052253e-276,"KCNJ11"
"ENSG00000143452.16",231.219116860262,6.76086797121145,0.190230778950239,35.5403474060313,1.17127009743045e-276,6.20603968179622e-274,"HORMAD1"
"ENSG00000259725.1",106.429160545571,-4.51646707490165,0.127157302530657,-35.5187392703047,2.52545974187696e-276,1.32342416165809e-273,NA
"ENSG00000174607.11",460.000405411866,4.86414945780057,0.136985659145295,35.5084575140917,3.63952923339303e-276,1.88650250600884e-273,"UGT8"
"ENSG00000251141.6",4195.0370913684,-5.92835192721428,0.167014714323846,-35.4959857951142,5.66880769278639e-276,2.906757338128e-273,"MRPS30-DT"
"ENSG00000163491.16",997.283470258853,-4.8383805209335,0.13636983382811,-35.4798446629489,1.00567902921155e-275,5.10189530489481e-273,"NEK10"
"ENSG00000115163.15",473.712532170755,2.56982157818094,0.0724461563194183,35.4721590314673,1.32119250435573e-275,6.63196915318017e-273,"CENPA"
